,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
2281,2326,3,0,3,0,1,"934 8616
i got a missed call from yo bitch"
15914,16283,3,0,3,0,1,RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!
18943,19362,3,0,1,2,2,"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!"
16407,16780,3,0,3,0,1,RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit
13326,13654,3,1,2,0,1,Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.
12914,13233,3,0,3,0,1,"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch."
21457,21919,3,0,3,0,1,"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;"
12246,12557,6,0,6,0,1,"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch."
13083,13404,6,0,6,0,1,My momma keep talking to me like bitch gtf I'm on Twitter.
19409,19839,3,0,3,0,1,RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now
24146,24648,6,0,6,0,1,like a bitch pic is flirting nowadays
4273,4399,3,2,0,1,0,@Nien_Nunb what did you search? Gay redneck episode 1 play?
9642,9905,3,0,3,0,1,"Halloween's over, and bitches still playing roles."
23843,24340,3,1,2,0,1,fucking queer
22855,23334,3,1,2,0,1,"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?"
10907,11189,3,0,3,0,1,I stopped snapping on women and calling them bitches.
3778,3886,3,2,1,0,0,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
11464,11757,3,0,3,0,1,"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga."
20993,21444,6,1,5,0,1,So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok
4794,4934,3,0,0,3,2,@StunningStina their tortillas are trash though.
18490,18899,6,0,6,0,1,"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;"
23996,24493,6,0,6,0,1,i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol
15789,16158,3,0,0,3,2,"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;"
24006,24503,9,1,8,0,1,"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB"
2232,2277,3,0,3,0,1,2 or 3 hoes for everything &#128527;&#128520;&#128526;
11500,11793,3,0,3,0,1,"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch."
11783,12082,4,0,3,1,1,Ima start friend zoning these hoes &#128514;&#128514;&#128514;
18637,19049,3,0,3,0,1,RT @bdha: http://t.co/zPrnmY7kQR What a shit heel.
21998,22465,3,0,3,0,1,This bitch pregnant again &#128064;&#128514;&#128514;
18859,19277,3,0,3,0,1,RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!
17986,18390,3,0,3,0,1,RT @VibeLord: your opinion of me is highly irrelevant bitch
14381,14724,3,0,3,0,1,RT @BigSean: Suck my dick bitch RT @MaizeNBlue23: @bigsean not only are you terrible. You are why hip hop is dead
19902,20343,3,0,3,0,1,RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!
22059,22526,3,0,2,1,1,This hoe taken by the world smh
14614,14964,3,0,3,0,1,RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr
19588,20023,3,0,3,0,1,"RT @lovexlilyy: don't play games with a girl who can play better, bitch."
11311,11601,3,0,0,3,2,I'm just tryna get to sleep before the birds start getting rowdy.
12247,12558,3,0,3,0,1,Kiss imik this bitch just added another 50 seconds to her story I think its a new record.
11815,12115,3,0,3,0,1,Inde jus got me all hype at work!! I knew my bitch Candace ain't die
6814,7005,6,0,0,6,2,@panchoftf red and yellow it should be then
11448,11741,3,0,0,3,2,"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place."
6944,7139,3,0,3,0,1,@ronsonsolaqa I love you too pussy.... Lmaooo
3077,3155,3,0,3,0,1,@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good
7095,7293,3,0,0,3,2,@strawberrycoca ling ling krunkchip
6977,7173,3,0,3,0,1,@saucygyro she's a dyke &amp; looks like she's 12
